objectid,parentid,title,architect,credits,credits_before,credits_after,caption_before,caption_after,date_construction,date_destruction,description,subjects,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,caption,notes,region,image_alt_text,object_transcript
obj_031,,Lysychansk Gymnasium,,Serhii Hayday,Serhii Hayday,Serhii Hayday,Gymnasium before the war,Gymnasium during the fire,1895,2022-05-01,"The building of the Lysychansk Gymnasium (secondary school) is part of the unique ensemble of the Belgian architectural heritage. Initially, there were barracks for 170 people, later - a hospital, and later - the Gymnasium. The building was listed as a monument and preserved in its original condition until 2022.",educational,Лисичанськ / Lysychansk,48.889002,38.47212,,lysychansk_gymnasium_before_serhii_hayday,record,,,,,multiple,/objects/lysychansk_gymnasium_before_serhii_hayday.jpg,/objects/small/lysychansk_gymnasium_before_serhii_hayday_sm.jpg,/objects/thumbs/lysychansk_gymnasium_before_serhii_hayday_th.jpg,,in ruins,Luhansk oblast,,
obj_034,,Palace of Engineers and Technicians,"Vladyslav Fadeichev, Boris Dzbanovskyi, Yevhen Ivanov",donmining.info,donmining.info,vchaspik.ua,Palace in the 1950-s,"Ruins of the palace, 2022",1953,2022-06-15,The neoclassical building of the Palace of Engineers and Technicians won first place at the All-Ukrainian Competition for New Buildings in 1953. Its classicist architecture with the appropriate sculptural elements made it one of the most iconic buildings of the city. It was known for the high quality of the interior design on par with the famous government buildings in Kyiv.,public,Лисичанськ / Lysychansk,48.917548,38.428164,,lysychansk_itr_donmining_info,record,,,,,multiple,/objects/lysychansk_itr_donmining_info.jpg,/objects/small/lysychansk_itr_donmining_info_sm.jpg,/objects/thumbs/lysychansk_itr_donmining_info_th.jpg,,in ruins,Luhansk oblast,,
obj_037,,Kostyantynivka City Administration,Emmanuil Kodnir,konstrada.gov.ua,konstrada.gov.ua,Donetsk Regional State Administration,"City administration before the war, 2016","Damaged city administration building, 2024",1934-1935,2024-10-06,"The building of the Kostiantynivka city administration was originally built as a hotel. Its main facade was oriented towards the railway, as the main city thoroughfare. The building went through a number of renovations, being originally built to a constructivist architectural style, with classical decorative elements later enriching the facade, finally being covered in tile.",administrative,Костянтинівка / Kostyantynivka,48.533249,37.693319,,kostyantynivka_administration_konstrada_gov_ua,record,,,,,multiple,/objects/kostyantynivka_administration_konstrada_gov_ua.jpg,/objects/small/kostyantynivka_administration_konstrada_gov_ua_sm.jpg,/objects/thumbs/kostyantynivka_administration_konstrada_gov_ua_th.jpg,,in ruins,Donetsk oblast,,
obj_040,,Kharkiv Regional Administration,"Volodymyr Orekhov, Venyamin Kostenko",Semen Shyrochyn,Semen Shyrochyn,MNS.GOV.UA,"Regional administration before the war, 2018","Ruins of building, 2022",1951-1954,2022-03-01,"The Kharkiv Regional Administration building is a reconstruction of a constructivist building designed by architect Steinberg in the 1930s. During the reconstruction, the facade design was changed to neoclassical—the new look given to the whole square. The building is richly decorated with classical elements. After being hit by two missiles, the building was badly damaged, but the public is fighting for its restoration.",administrative,Харків / Kharkiv,50.004226,36.236011,,kharkiv_oda_shyrochyn,record,,,,,multiple,/objects/kharkiv_oda_shyrochyn.jpg,/objects/small/kharkiv_oda_shyrochyn_sm.jpg,/objects/thumbs/kharkiv_oda_shyrochyn_th.jpg,,in ruins,Kharkiv oblast,,
obj_043,,Mykolaiv Regional Administration,"Svitlana Fadeeva, Petro Kazmerchuk",dnabb.org,dnabb.org,Dsns.gov.ua,"Administration building right after completion, 1981","Ruins of building, 2022",1981,2022-03-29,"The building of the Mykolaiv regional administration became the final element to the ensemble of the central square of the city. Designed in the modernist style, it had a clearly expressed vertical rhythm, echoing the city council building located opposite. The interior of the building contained many monumental art elements. The missile strike completely pierced the central part of the building, and thus its restoration is not considered possible.",administrative,Миколаїв / Mykolaiv,46.974887,31.997203,,mykolaiv_oda_dnabb,record,,,,,multiple,/objects/mykolaiv_oda_dnabb.jpg,/objects/small/mykolaiv_oda_dnabb_sm.jpg,/objects/thumbs/mykolaiv_oda_dnabb_th.jpg,,in ruins,Mykolaiv oblast,,
obj_046,,Housing for Polytechnicians,Mihal Ryba,Roman Baluk,Roman Baluk,Roman Baluk,"Ruins of building, 2022","Restored building, 2024",1930,2023-07-06,"The residential complex at Striyska street was built in the style of early functionalism. The floor plate arranged around a central courtyard makes for a quiet, enclosed space. The complex was mostly settled by the workers of the Lviv Polytechnic. The restoration of the building began immediately after the missile attack and is mostly finished.",residential,Львів / Lviv,49.820803,24.020346,,lviv_polytechnic_baluk_ruined,record,,,,,multiple,/objects/lviv_polytechnic_baluk_ruined.jpg,/objects/small/lviv_polytechnic_baluk_ruined_sm.jpg,/objects/thumbs/lviv_polytechnic_baluk_ruined_th.jpg,,under restoration,Lviv oblast,,
obj_049,,Spaso-Preobrazhensky Cathedral,Vikentiy Vanrezant,Semen Shyrochyn,Semen Shyrochyn,president.gov.ua,"Cathedral before the war, 2013","Cathedral after attack, 2023","1804-1808, 1999-2003",2023-07-23,"The Spaso-Preobrazhensky (Transfiguration of the Savior) Cathedral was built as the main city church. The neoclassical building was located on a city square and served as the focal point of several streets. Its interior and exterior were richly decorated. After the destruction of the original church in 1936, it was restored in the late 20th century.",religious,Одеса / Odesa,46.48311,30.73174,,odessa_sobor_shyrochyn,record,,,,,multiple,/objects/odessa_sobor_shyrochyn.jpg,/objects/small/odessa_sobor_shyrochyn_sm.jpg,/objects/thumbs/odessa_sobor_shyrochyn_th.jpg,,restoration announced,Odesa oblast,,
obj_052,,St. George Church,,Ivan Bykov,Ivan Bykov,Ukrinform,Church before the war,The fire that destroyed the church,1873,2022-03-07,"St. George church in the village of Zavorychi was built in 1873. This single-domed wooden church represented the architectural trends of late 19th century. The church survived during the Second World War and the Soviet Era, though in 1935 it was closed and turned it into a grain store.",religious,Заворичі / Zavorychi,50.703871,31.15036,,zavorychi_bykov,record,,,,,multiple,/objects/zavorychi_bykov.jpg,/objects/small/zavorychi_bykov_sm.jpg,/objects/thumbs/zavorychi_bykov_th.jpg,,completely burnt,Kyiv oblast,,
obj_055,,Church of the Nativity of the Blessed Virgin Mary,,zhitomir.info,zhitomir.info,zhitomir.info,Church before the war,"Ruins of the church, 2022",1862,2022-03-07,"Church of the Nativity of the Blessed Virgin Mary was listed as a monument of national importance. It was one of the best examples of wooden architecture in the region, with its dome resembling neoclassical architecture. The church survived the duration of the Soviet Union including the Second World War, but was ruined by the Russian strike.",religious,В'язівка / Vyazivka,51.150925,28.879264,,vyazivka_zhitomir_info_1,record,,,,,multiple,/objects/vyazivka_zhitomir_info_1.jpg,/objects/small/vyazivka_zhitomir_info_1_sm.jpg,/objects/thumbs/vyazivka_zhitomir_info_1_th.jpg,,in ruins,Zhytomyr oblast,,
obj_058,,House of Abrasive Plant Workers,Georgiy Vegman,Semen Shyrochyn,Semen Shyrochyn,1news.zp.ua,"Building before the war, 2021","Ruins of building, 2023",1955,2023-10-18,"These apartments for workers in the abrasives plant were built as a part of larger urban ensemble of Soborny Avenue. Its architecture is consistent with a number of buildings along the avenue. The decision was made to restore the destroyed section, although it is not known whether the original architectural appearance will feature in the restoration, as the building was not listed for historical protection.",residential,Запоріжжя / Zaporizhzhia,47.811295,35.183399,,zaporizhzhia_sobor44_shyrochyn,record,,,,,multiple,/objects/zaporizhzhia_sobor44_shyrochyn.jpg,/objects/small/zaporizhzhia_sobor44_shyrochyn_sm.jpg,/objects/thumbs/zaporizhzhia_sobor44_shyrochyn_th.jpg,,restoration announced,Zaporizhzhia oblast,,
obj_061,,Drama Theatre,"Oleksandra Krylova, Oleg Malyshenko",Semen Shyrochyn,Semen Shyrochyn,Reuters,"Building before the war, 2021","Damaged theatre building, 2022",1956-1960,2022-03-16,"The Mariupol Drama Theatre was located on the axis of the city’s central avenue. Although this blueprint had already been used elsewhere, the facade had an unique design incorporating sculptural compositions. The air attack on the theatre caused numerous casualties among the people who used it as a shelter. The occupation authorities have started to restore it in its original form.",public,Маріуполь / Mariupol,47.096137,37.548059,,mariupol_theatre_shyrochyn,record,,,,,multiple,/objects/mariupol_theatre_shyrochyn.jpg,/objects/small/mariupol_theatre_shyrochyn_sm.jpg,/objects/thumbs/mariupol_theatre_shyrochyn_th.jpg,,under restoration,Donetsk oblast,,
obj_064,,House with the Clock,,informator.ua,informator.ua,informator.ua,House with a clock before the war,"House before demolition, 2022",1950-s,2023-01-27,"The House with the Clock was one of Mariupol’s most iconic buildings. The clock on the façade was a landmark and the corner underneath it was known as a common meeting-place. The tower housed the studio of the famous artist Viktor Arnautov. The occupiers did not repair the damaged building, opting instead to demolish it for new construction on the same site.",residential,Маріуполь / Mariupol,47.097247,37.543102,,mariupol_clock_before_informator_ua,record,,,,,multiple,/objects/mariupol_clock_before_informator_ua.jpg,/objects/small/mariupol_clock_before_informator_ua_sm.jpg,/objects/thumbs/mariupol_clock_before_informator_ua_th.jpg,,demolished for new construction,Donetsk oblast,,
obj_067,,Railway Station,Oscar Pleskov,modernism.in.ua,modernism.in.ua,Reuters,"Railway station on the old postard, 1980-s","Damaged building before demolition, april 2022",1974,2022-07-24,"The railway station building was typical of the modernist era. Its interior was decorated with a grand mosaic panel ""Metallurgists"" by Valentin Konstantinov and Lel Kuzminkov. The building's façade was later re-clad. After damage in 2022, the building was not restored, but demolished, and a new one, similar to the old, was built. The mosaics were lost.",transport,Маріуполь / Mariupol,47.085622,37.554944,,mariupol_railway_modernism_in_ua,record,,,,,multiple,/objects/mariupol_railway_modernism_in_ua.jpg,/objects/small/mariupol_railway_modernism_in_ua_sm.jpg,/objects/thumbs/mariupol_railway_modernism_in_ua_th.jpg,,demolished and rebuilt,Donetsk oblast,,
obj_070,,Railway Technical School (Former City Hall),,Mykhaylo Kulishov,Mykhaylo Kulishov,Dsns.gov.ua,"Building before the war, 2018","Building on fire, 14th October, 2022",1898,2022-10-14,"The building of the former city hall was one of the most elegant in old Bakhmut. The three-storey building, 90 meters wide, was built in the Neo-Renaissance style. The entire Donetsk region was managed from here in 1920-1924. Later, the building housed the railway administration, and since 1955 the railway technical school. In 2022, the building completely burned down as a result of shelling.",educational,Бахмут / Bakhmut,48.598002,37.997047,,bakhmut_zemska_before_mykhaylo_kulishov,record,,,,,multiple,/objects/bakhmut_zemska_before_mykhaylo_kulishov.jpg,/objects/small/bakhmut_zemska_before_mykhaylo_kulishov_sm.jpg,/objects/thumbs/bakhmut_zemska_before_mykhaylo_kulishov_th.jpg,,in ruins,Donetsk oblast,,
obj_073,,Center for Children and Youth (Former Bank),Mihail Polyakov,hyacint,hyacint,Olexiy Reva,Building before the war,"Building after the fire, November 2022",1906,2022-11-13,"This was one of the first bank buildings in the city. It has some art nouveau features, including floral ornaments. In the course of history, the building served as a pedagogical technical school, a teacher's institute, a high school and a children's and youth center. As a result of Russian shelling, the building was completely burned down.",public / educational,Бахмут / Bakhmut,48.586035,38.00243,,bakhmut_city_childrens_and_youth_center_before_hyacint,record,,,,,multiple,/objects/bakhmut_city_childrens_and_youth_center_before_hyacint.jpg,/objects/small/bakhmut_city_childrens_and_youth_center_before_hyacint_sm.jpg,/objects/thumbs/bakhmut_city_childrens_and_youth_center_before_hyacint_th.jpg,,in ruins,Donetsk oblast,,
obj_076,,Residential House on Myru 42,,V.D.Stelmakh,V.D.Stelmakh,freeradio.com.ua,"Soviet postcard, 1975","Building in ruins, 2023",1930-s,2023-02-24,"The art deco building at 42 Myru Street forms part of the architectural ensemble of the central square. Its rounded facade compositionally reflects the same roundness of the facade of the building across from it. As a result of the damage, the building lost its inner walls, and its condition is worse than it was after the damage in the Second World War.",residential,Бахмут / Bakhmut,48.589711,38.0007,,bakhmut_myru_42_1970_s,record,,,,,multiple,/objects/bakhmut_myru_42_1970_s.jpg,/objects/small/bakhmut_myru_42_1970_s_sm.jpg,/objects/thumbs/bakhmut_myru_42_1970_s_th.jpg,,in ruins,Donetsk oblast,,
obj_079,,Railway Station,Serhii Tymoshenko,Bakhmut city museum,Bakhmut city museum,freeradio.com.ua,"Original building on the postcard, 1913","Ruins of the building, 2023","1912-1913, 1952-1953",2022-11-12,"The railway station building was built in 1912-1913. Its original appearance had features of Art Nouveau architecture. After its destruction in 1943, the station was rebuilt on top of the old foundation, but followed instead the neoclassical style, along with significant changes to the central volume. Since 2004, the station has had a protected status, but this did not prevent its facade from being distorted by composite panels. The building is now destroyed to a much greater extent.",transport,Бахмут / Bakhmut,48.591347,37.986801,,bakhmut_railway_1913,record,,,,,multiple,/objects/bakhmut_railway_1913.jpg,/objects/small/bakhmut_railway_1913_sm.jpg,/objects/thumbs/bakhmut_railway_1913_th.jpg,,in ruins,Donetsk oblast,,
obj_082,,Regional Library,"Halyna Avramenko, Nina Marchenko",most.ks.ua,most.ks.ua,most.ks.ua,Building before the war,Fire after the strike,1987,2023-11-12,The design of the Oles Honchar Regional Library was based on an improvement of an earlier project. It was located on a picturesque slope near the bank of the Dnieper river. Its valuable modernist interior was especially cherished but was lost as a result of shelling.,public,Херсон / Kherson,46.63771,32.633353,,kherson_library_before,record,,,,,multiple,/objects/kherson_library_before.jpg,/objects/small/kherson_library_before_sm.jpg,/objects/thumbs/kherson_library_before_th.jpg,,in ruins,Kherson oblast,,
obj_085,,Yuvileyniy Concert Hall,"Hryhoriy Sokolovskyi, Halyna Skripchenko",Semen Shyrochyn,Semen Shyrochyn,MNS.GOV.UA,"Concert hall before the war, 2020","Damaged building, 2023",1970,2023-02-12,"The Yuvileyniy Film and Concert Hall is a modernist landmark of Kherson. Its design was adapted from an existing plan, first implemented in Kharkiv in 1957. This is one of the very few modernist buildings to have the status of a protected architectural monument.",public,Херсон / Kherson,46.638117,32.623011,,kherson_concert_hall_before_shyrochyn,record,,,,,multiple,/objects/kherson_concert_hall_before_shyrochyn.jpg,/objects/small/kherson_concert_hall_before_shyrochyn_sm.jpg,/objects/thumbs/kherson_concert_hall_before_shyrochyn_th.jpg,,damaged,Kherson oblast,,
obj_088,,Maritime Academy,,Semen Shyrochyn,Semen Shyrochyn,suspilne.media,"Building before the war, 2020","Damaged building, 2024",1910-s,2024-07-02,"The Maritime Academy in Kherson was founded in the days of the Russian Empire. The Academy is a complex, comprised of a number of buildings, built at different times and in different styles. One of the most expressive was a corner neoclassical building with an emphasized cylindrical volume. Shelling left the left wing of the building completely ruined.",educational,Херсон / Kherson,46.635513,32.617223,,kherson_academy_shyrochyn,record,,,,,multiple,/objects/kherson_academy_shyrochyn.jpg,/objects/small/kherson_academy_shyrochyn_sm.jpg,/objects/thumbs/kherson_academy_shyrochyn_th.jpg,,in ruins,Kherson oblast,,
obj_091,,Palace of Labour,Ippolit Pretro,V. Kiryukhin,V. Kiryukhin,Pavel Dorogoy,Palace of Labour on the old postcard,"Damaged building, 2022",1914-1916,2022-03-02,"The neoclassical building, originally built by the insurance company “Russia”, occupies almost an entire block and combines residential apartments, retail and office space. During the Soviet era, it housed various institutions, including the Palace of Labor. The building is richly decorated with sculptures, including the central sculptural group, ironically titled ""Mercy of Russia"", which miraculously survived the Russian shelling.",administrative / residential,Харків / Kharkiv,49.988513,36.23265,,kharkiv_palaceoflabour_v_kiryukhin,record,,,,,multiple,/objects/kharkiv_palaceoflabour_v_kiryukhin.jpg,/objects/small/kharkiv_palaceoflabour_v_kiryukhin_sm.jpg,/objects/thumbs/kharkiv_palaceoflabour_v_kiryukhin_th.jpg,,in ruins,Kharkiv oblast,,
obj_094,,Palace of Culture of the Railway Workers,Alexandr Dmitriev,B. Mindel,B. Mindel,Dmytro Kuzubov,"Palace on the old postcard, 1969","Damaged building, 2022",1927-1932,2022-08-18,"The Palace of Culture of the Railway Workers was one of the most striking examples of constructivist architecture in Kharkiv. Its façade was divided geometrically with prominent glazing in monumental scale. The interior was richly decorated with frescoes by Yevgeny Lanceray. Though the building had been preserved in almost its original form, it was damaged in an airstrike.",public,Харків / Kharkiv,49.998333,36.204278,,kharkiv_railway_palace_1969_b_mindel,record,,,,,multiple,/objects/kharkiv_railway_palace_1969_b_mindel.jpg,/objects/small/kharkiv_railway_palace_1969_b_mindel_sm.jpg,/objects/thumbs/kharkiv_railway_palace_1969_b_mindel_th.jpg,,in ruins,Kharkiv oblast,,
obj_097,,Maslovsky's Apartment Building,Moisey Meletinskiy,moniacs.kh.ua,moniacs.kh.ua,slovoidilo.ua,"Original exterior, 1930-s","Ruined building, 2022",1911,2022-03-14,"Maslovsky's apartment house was built in the Art Nouveau style. The house retained its lavishly decorated main staircase and vestibule with an authentic wooden door. Despite minor changes to the exterior, the Art Nouveau interior was preserved. A projectile impact destroyed the entire central part of the building.",residential,Харків / Kharkiv,50.003445,36.238232,,kharkiv_maslovsky_moniacs_kh_ua,record,,,,,multiple,/objects/kharkiv_maslovsky_moniacs_kh_ua.jpg,/objects/small/kharkiv_maslovsky_moniacs_kh_ua_sm.jpg,/objects/thumbs/kharkiv_maslovsky_moniacs_kh_ua_th.jpg,,in ruins,Kharkiv oblast,,
obj_100,,Palace of Culture,"Mark Bubnov, Vadim Davidenko, Ilya Bylinkin",kharkivoda.gov.ua,kharkivoda.gov.ua,suspilne.media,"Building before the war, 2021",Moment of missile strike,1977,2022-05-20,"The City Palace of Culture was the largest cultural space in Lozova. It was constructed according to a a standard design. Before the war, the building was restored. Despite a direct missile hit, its restoration remains possible.",public,Лозова / Lozova,48.879522,36.297417,,lozova_palace_before_kharkivoda_gov_ua,record,,,,,multiple,/objects/lozova_palace_before_kharkivoda_gov_ua.jpg,/objects/small/lozova_palace_before_kharkivoda_gov_ua_sm.jpg,/objects/thumbs/lozova_palace_before_kharkivoda_gov_ua_th.jpg,,restoration announced,Kharkiv oblast,,
obj_103,,Railway Station,,ui.org.ua,ui.org.ua,railexpoua.com,Railway station before the war,Remains of station after a direct hit,1895,2022-03-03,"The one-story building of the railway station had been preserved since the railway first appeared in the city. It was a typical example of railway architecture of those years. The building survived World War II and was restored in the interim. A direct hit during Russian shelling, however, left nothing to be restored.",transport,Охтирка / Okhtyrka,50.317155,34.916356,,okhtyrka_railway_ui_org_ua,record,,,,,multiple,/objects/okhtyrka_railway_ui_org_ua.jpg,/objects/small/okhtyrka_railway_ui_org_ua_sm.jpg,/objects/thumbs/okhtyrka_railway_ui_org_ua_th.jpg,,completely demolished,Sumy oblast,,
obj_106,,Skovoroda Museum,,Denis Vitchenko,Denis Vitchenko,chytomo.com,"Museum before the war, 2011",Fire after the strike,XVIII century,2022-05-06,"The museum of the Ukrainian philosopher Skovoroda located in the Kovalivsky estate is one of the oldest buildings to have suffered damage during the Russian-Ukrainian war. Though a direct missile hit damaged the building, a significant part of the exhibits were saved through prompt evacuation. Plans to restore the museum have been announced.",museum,Сковородинівка / Skovorodynivka,50.156808,35.767091,,skovorodynivka_2011_denis_vitchenko,record,,,,,multiple,/objects/skovorodynivka_2011_denis_vitchenko.jpg,/objects/small/skovorodynivka_2011_denis_vitchenko_sm.jpg,/objects/thumbs/skovorodynivka_2011_denis_vitchenko_th.jpg,,restoration announced,Kharkiv oblast,,
