title,description,subsection,location,latitude,longitude,source,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Lysychansk Gymnasium","The building of the Lysychansk Gymnasium (secondary school) is part of the unique ensemble of the Belgian architectural heritage. Initially, there were barracks for 170 people, later - a hospital, and later - the Gymnasium. The building was listed as a monument and preserved in its original condition until 2022.","educational","Лисичанськ / Lysychansk","48.889002","38.47212","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lysychansk_gymnasium_before_serhii_hayday_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lysychansk_gymnasium_before_serhii_hayday.jpg",/items/obj_031.html
"Palace of Engineers and Technicians","The neoclassical building of the Palace of Engineers and Technicians won first place at the All-Ukrainian Competition for New Buildings in 1953. Its classicist architecture with the appropriate sculptural elements made it one of the most iconic buildings of the city. It was known for the high quality of the interior design on par with the famous government buildings in Kyiv.","public","Лисичанськ / Lysychansk","48.917548","38.428164","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lysychansk_itr_donmining_info_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lysychansk_itr_donmining_info.jpg",/items/obj_034.html
"Kostyantynivka City Administration","The building of the Kostiantynivka city administration was originally built as a hotel. Its main facade was oriented towards the railway, as the main city thoroughfare. The building went through a number of renovations, being originally built to a constructivist architectural style, with classical decorative elements later enriching the facade, finally being covered in tile.","administrative","Костянтинівка / Kostyantynivka","48.533249","37.693319","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kostyantynivka_administration_konstrada_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kostyantynivka_administration_konstrada_gov_ua.jpg",/items/obj_037.html
"Kharkiv Regional Administration","The Kharkiv Regional Administration building is a reconstruction of a constructivist building designed by architect Steinberg in the 1930s. During the reconstruction, the facade design was changed to neoclassical—the new look given to the whole square. The building is richly decorated with classical elements. After being hit by two missiles, the building was badly damaged, but the public is fighting for its restoration.","administrative","Харків / Kharkiv","50.004226","36.236011","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_oda_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_oda_shyrochyn.jpg",/items/obj_040.html
"Mykolaiv Regional Administration","The building of the Mykolaiv regional administration became the final element to the ensemble of the central square of the city. Designed in the modernist style, it had a clearly expressed vertical rhythm, echoing the city council building located opposite. The interior of the building contained many monumental art elements. The missile strike completely pierced the central part of the building, and thus its restoration is not considered possible.","administrative","Миколаїв / Mykolaiv","46.974887","31.997203","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mykolaiv_oda_dnabb_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mykolaiv_oda_dnabb.jpg",/items/obj_043.html
"Housing for Polytechnicians","The residential complex at Striyska street was built in the style of early functionalism. The floor plate arranged around a central courtyard makes for a quiet, enclosed space. The complex was mostly settled by the workers of the Lviv Polytechnic. The restoration of the building began immediately after the missile attack and is mostly finished.","residential","Львів / Lviv","49.820803","24.020346","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lviv_polytechnic_baluk_ruined_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lviv_polytechnic_baluk_ruined.jpg",/items/obj_046.html
"Spaso-Preobrazhensky Cathedral","The Spaso-Preobrazhensky (Transfiguration of the Savior) Cathedral was built as the main city church. The neoclassical building was located on a city square and served as the focal point of several streets. Its interior and exterior were richly decorated. After the destruction of the original church in 1936, it was restored in the late 20th century.","religious","Одеса / Odesa","46.48311","30.73174","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/odessa_sobor_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/odessa_sobor_shyrochyn.jpg",/items/obj_049.html
"St. George Church","St. George church in the village of Zavorychi was built in 1873. This single-domed wooden church represented the architectural trends of late 19th century. The church survived during the Second World War and the Soviet Era, though in 1935 it was closed and turned it into a grain store.","religious","Заворичі / Zavorychi","50.703871","31.15036","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zavorychi_bykov_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zavorychi_bykov.jpg",/items/obj_052.html
"Church of the Nativity of the Blessed Virgin Mary","Church of the Nativity of the Blessed Virgin Mary was listed as a monument of national importance. It was one of the best examples of wooden architecture in the region, with its dome resembling neoclassical architecture. The church survived the duration of the Soviet Union including the Second World War, but was ruined by the Russian strike.","religious","В&#39;язівка / Vyazivka","51.150925","28.879264","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/vyazivka_zhitomir_info_1_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/vyazivka_zhitomir_info_1.jpg",/items/obj_055.html
"House of Abrasive Plant Workers","These apartments for workers in the abrasives plant were built as a part of larger urban ensemble of Soborny Avenue. Its architecture is consistent with a number of buildings along the avenue. The decision was made to restore the destroyed section, although it is not known whether the original architectural appearance will feature in the restoration, as the building was not listed for historical protection.","residential","Запоріжжя / Zaporizhzhia","47.811295","35.183399","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_sobor44_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_sobor44_shyrochyn.jpg",/items/obj_058.html
"Drama Theatre","The Mariupol Drama Theatre was located on the axis of the city’s central avenue. Although this blueprint had already been used elsewhere, the facade had an unique design incorporating sculptural compositions. The air attack on the theatre caused numerous casualties among the people who used it as a shelter. The occupation authorities plan to restore it in its original form.","public","Маріуполь / Mariupol","47.096137","37.548059","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_theatre_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_theatre_shyrochyn.jpg",/items/obj_061.html
"House with the Clock","The House with the Clock was one of Mariupol’s most iconic buildings. The clock on the façade was a landmark and the corner underneath it was known as a common meeting-place. The tower housed the studio of the famous artist Viktor Arnautov. The occupiers did not repair the damaged building, opting instead to demolish it for new construction on the same site.","residential","Маріуполь / Mariupol","47.097247","37.543102","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_clock_before_informator_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_clock_before_informator_ua.jpg",/items/obj_064.html
"Railway Station","The railway station building was typical of the modernist era. Its interior was decorated with a grand mosaic panel &quot;Metallurgists&quot; by Valentin Konstantinov and Lel Kuzminkov. The building&#39;s façade was later re-clad. After damage in 2022, the building was not restored, but demolished, and a new one, similar to the old, was built. The mosaics were lost.","transport","Маріуполь / Mariupol","47.085622","37.554944","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_railway_modernism_in_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_railway_modernism_in_ua.jpg",/items/obj_067.html
"Railway Technical School (Former City Hall)","The building of the former city hall was one of the most elegant in old Bakhmut. The three-storey building, 90 meters wide, was built in the Neo-Renaissance style. The entire Donetsk region was managed from here in 1920-1924. Later, the building housed the railway administration, and since 1955 the railway technical school. In 2022, the building completely burned down as a result of shelling.","educational","Бахмут / Bakhmut","48.598002","37.997047","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_zemska_before_mykhaylo_kulishov_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_zemska_before_mykhaylo_kulishov.jpg",/items/obj_070.html
"Center for Children and Youth (Former Bank)","This was one of the first bank buildings in the city. It has some art nouveau features, including floral ornaments. In the course of history, the building served as a pedagogical technical school, a teacher&#39;s institute, a high school and a children&#39;s and youth center. As a result of Russian shelling, the building was completely burned down.","public / educational","Бахмут / Bakhmut","48.586035","38.00243","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_city_childrens_and_youth_center_before_hyacint_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_city_childrens_and_youth_center_before_hyacint.jpg",/items/obj_073.html
"Residential House on Myru 42","The art deco building at 42 Myru Street forms part of the architectural ensemble of the central square. Its rounded facade compositionally reflects the same roundness of the facade of the building across from it. As a result of the damage, the building lost its inner walls, and its condition is worse than it was after the damage in the Second World War.","residential","Бахмут / Bakhmut","48.589711","38.0007","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_myru_42_1970_s_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_myru_42_1970_s.jpg",/items/obj_076.html
"Railway Station","The railway station building was built in 1912-1913. Its original appearance had features of Art Nouveau architecture. After its destruction in 1943, the station was rebuilt on top of the old foundation, but followed instead the neoclassical style, along with significant changes to the central volume. Since 2004, the station has had a protected status, but this did not prevent its facade from being distorted by composite panels. The building is now destroyed to a much greater extent.","transport","Бахмут / Bakhmut","48.591347","37.986801","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_railway_1913_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_railway_1913.jpg",/items/obj_079.html
"Regional Library","The design of the Oles Honchar Regional Library was based on an improvement of an earlier project. It was located on a picturesque slope near the bank of the Dnieper river. Its valuable modernist interior was especially cherished but was lost as a result of shelling.","public","Херсон / Kherson","46.63771","32.633353","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_library_before_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_library_before.jpg",/items/obj_082.html
"Yuvileyniy Concert Hall","The Yuvileyniy Film and Concert Hall is a modernist landmark of Kherson. Its design was adapted from an existing plan, first implemented in Kharkiv in 1957. This is one of the very few modernist buildings to have the status of a protected architectural monument.","public","Херсон / Kherson","46.638117","32.623011","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_concert_hall_before_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_concert_hall_before_shyrochyn.jpg",/items/obj_085.html
"Maritime Academy","The Maritime Academy in Kherson was founded in the days of the Russian Empire. The Academy is a complex, comprised of a number of buildings, built at different times and in different styles. One of the most expressive was a corner neoclassical building with an emphasized cylindrical volume. Shelling left the left wing of the building completely ruined.","educational","Херсон / Kherson","46.635513","32.617223","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_academy_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_academy_shyrochyn.jpg",/items/obj_088.html
"Palace of Labour","The neoclassical building, originally built by the insurance company “Russia”, occupies almost an entire block and combines residential apartments, retail and office space. During the Soviet era, it housed various institutions, including the Palace of Labor. The building is richly decorated with sculptures, including the central sculptural group, ironically titled &quot;Mercy of Russia&quot;, which miraculously survived the Russian shelling.","administrative / residential","Харків / Kharkiv","49.988513","36.23265","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_palaceoflabour_v_kiryukhin_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_palaceoflabour_v_kiryukhin.jpg",/items/obj_091.html
"Palace of Culture of the Railway Workers","The Palace of Culture of the Railway Workers was one of the most striking examples of constructivist architecture in Kharkiv. Its façade was divided geometrically with prominent glazing in monumental scale. The interior was richly decorated with frescoes by Yevgeny Lanceray. Though the building had been preserved in almost its original form, it was damaged in an airstrike.","public","Харків / Kharkiv","49.998333","36.204278","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_railway_palace_1969_b_mindel_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_railway_palace_1969_b_mindel.jpg",/items/obj_094.html
"Maslovsky&#39;s Apartment Building","Maslovsky&#39;s apartment house was built in the Art Nouveau style. The house retained its lavishly decorated main staircase and vestibule with an authentic wooden door. Despite minor changes to the exterior, the Art Nouveau interior was preserved. A projectile impact destroyed the entire central part of the building.","residential","Харків / Kharkiv","50.003445","36.238232","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_maslovsky_moniacs_kh_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_maslovsky_moniacs_kh_ua.jpg",/items/obj_097.html
"Palace of Culture","The City Palace of Culture was the largest cultural space in Lozova. It was constructed according to a a standard design. Before the war, the building was restored. Despite a direct missile hit, its restoration remains possible.","public","Лозова / Lozova","48.879522","36.297417","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lozova_palace_before_kharkivoda_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lozova_palace_before_kharkivoda_gov_ua.jpg",/items/obj_100.html
"Railway Station","The one-story building of the railway station had been preserved since the railway first appeared in the city. It was a typical example of railway architecture of those years. The building survived World War II and was restored in the interim. A direct hit during Russian shelling, however, left nothing to be restored.","transport","Охтирка / Okhtyrka","50.317155","34.916356","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/okhtyrka_railway_ui_org_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/okhtyrka_railway_ui_org_ua.jpg",/items/obj_103.html
"Skovoroda Museum","The museum of the Ukrainian philosopher Skovoroda located in the Kovalivsky estate is one of the oldest buildings to have suffered damage during the Russian-Ukrainian war. Though a direct missile hit damaged the building, a significant part of the exhibits were saved through prompt evacuation. Plans to restore the museum have been announced.","museum","Сковородинівка / Skovorodynivka","50.156808","35.767091","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/skovorodynivka_2011_denis_vitchenko_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/skovorodynivka_2011_denis_vitchenko.jpg",/items/obj_106.html
"Residential House on Vokzalna Square","The residential building on Vokzalna Square was one of the most important elements of the square&#39;s neoclassical architectural ensemble. Originally planned with a high tower, it sits at the terminus of city’s central avenue. A missile strike on the building destroyed its top floor.","residential","Дніпро / Dnipro","48.475386","35.015442","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/dnipro_vokzalna_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/dnipro_vokzalna_shyrochyn.jpg",/items/obj_109.html
"Residential House on Marat Street","The residential building at 13 Marata Street was a part of an ensemble of four buildings, with three of the four built in the 1950s. Despite its overall modesty, the facade was adorned with a number of neoclassical decorations. After a missile strike, several sections of the building were destroyed. Residents want the building to be restored, but city authorities doubt this is possible.","residential","Краматорськ / Kramatorsk","48.742019","37.591763","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kramatorsk_marata13_volodymyr_kotsarenko_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kramatorsk_marata13_volodymyr_kotsarenko.jpg",/items/obj_112.html
"Okhmadyt Children&#39;s Hospital","The children&#39;s hospital was built during the Russian Empire with funds from philanthropist Nikola Tereshchenko. The missile&#39;s impact on the hospital building was one of the most famous and egregious cases of a strike on civilian infrastructure during Russian-Ukrainian war. Despite non-critical damage and many donations, it is unknown whether the historic building will be restored.","hospital","Київ / Kyiv","50.450393","30.481876","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kyiv_okhmadyt_village_com_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kyiv_okhmadyt_village_com_ua.jpg",/items/obj_115.html
"Palace of Culture","Irpin&#39;s Palace of Culture was built by order of the Bucha brick factory. It was the city&#39;s most monumental building, decorated with sculpture and neoclassical decorations. As a result of the shelling, the building was damaged, and there is an ongoing discussion about the possibility of its restoration.","public","Ірпінь / Irpin","50.533906","30.233326","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/irpin_club_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/irpin_club_shyrochyn.jpg",/items/obj_118.html
"Railway Station","","","Костянтинівка / Kostyantynivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kostyantynivka_railway_pastvu_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kostyantynivka_railway_pastvu.jpg",/items/obj_001.html#img_002
"Railway Station","","","Костянтинівка / Kostyantynivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kostyantynivka_railway_serhii_leshchenko_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kostyantynivka_railway_serhii_leshchenko.jpg",/items/obj_001.html#img_003
"Tarnovsky House (Youth Library)","","","Чернігів / Chernihiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/chernihiv_library_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/chernihiv_library_semen_shyrochyn.jpg",/items/obj_004.html#img_005
"Tarnovsky House (Youth Library)","","","Чернігів / Chernihiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/chernihiv_library_ministry_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/chernihiv_library_ministry.jpg",/items/obj_004.html#img_006
"Drama Theatre","","","Чернігів / Chernihiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/chernihiv_theatre_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/chernihiv_theatre_semen_shyrochyn.jpg",/items/obj_007.html#img_008
"Drama Theatre","","","Чернігів / Chernihiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/chernihiv_theatre_suspilne_chernihiv_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/chernihiv_theatre_suspilne_chernihiv.jpg",/items/obj_007.html#img_009
"House Of Officers","","","Вінниця / Vynnitsya","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/vynnitsya_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/vynnitsya_semen_shyrochyn.jpg",/items/obj_010.html#img_011
"House Of Officers","","","Вінниця / Vynnitsya","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/vynnitsya_president_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/vynnitsya_president_gov_ua.jpg",/items/obj_010.html#img_012
"Bus Station","","","Дніпро / Dnipro","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/dnipro_bus_station_dp_informator_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/dnipro_bus_station_dp_informator_ua.jpg",/items/obj_013.html#img_014
"Bus Station","","","Дніпро / Dnipro","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/dnipro_bus_station_mykola_synelnykov(reuters)_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/dnipro_bus_station_mykola_synelnykov(reuters).jpg",/items/obj_013.html#img_015
"Ice Sports Palace","","","Сєвєродонецьк / Severodonetsk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/severodonetsk_ice_palace(olexandr_yakubenko)_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/severodonetsk_ice_palace(olexandr_yakubenko).jpg",/items/obj_016.html#img_017
"Ice Sports Palace","","","Сєвєродонецьк / Severodonetsk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/severodonetsk_ice_palace(vchaspik_ua)_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/severodonetsk_ice_palace(vchaspik_ua).jpg",/items/obj_016.html#img_018
"Joseph Lev House On Zhylianska Street","","","Київ / Kyiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kyiv_zhylianska_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kyiv_zhylianska_semen_shyrochyn.jpg",/items/obj_019.html#img_020
